year,r_h2,r_grid_hess,r_grid_base,opex_wfa_hess,opex_wfa_base,opex_hess_fixed,water_cost,stack_replacement,incremental_cf,discounted_cf,cumulative_npv
0,250276221.29758054,114305462.65277776,238911533.1468254,94344047.61904761,94344047.61904761,16151087.074649595,312845.27662197564,0.0,109206218.45226127,102061886.40398249,-634173783.0746286
1,271402650.63954383,81987998.74801585,176659651.42658728,102343333.33333333,102343333.33333333,16151087.074649595,339253.3132994299,0.0,160240657.57302338,139960396.16824472,-494213386.9063839
2,249617167.5142549,114350512.67063493,239093873.99801588,94159523.80952382,94159523.80952382,16151087.074649595,312089.4205578672,0.0,108410629.69166645,88495366.84970768,-405718020.0566762
3,272213962.08969027,81957411.34920636,176626044.42261904,102562142.85714285,102562142.85714285,16151087.074649595,340199.49144706427,0.0,161054042.45018095,122867357.8661419,-282850662.1905343
4,249139281.861612,114140021.32341269,238665152.19246033,93948095.23809524,93948095.23809524,16151087.074649595,311424.102327015,0.0,108151639.81558776,77110624.4770097,-205740037.71352458
5,272700631.8384959,82198490.09523809,177092126.8253968,102781666.66666669,102781666.66666669,16151087.074649595,340875.7897981199,0.0,161315032.24388948,107491017.3204257,-98249020.39309883
6,248548065.9577747,113791000.25595236,237972982.11706346,93727261.90476191,93727261.90476191,16151087.074649595,310753.04361226695,0.0,107904243.97840172,67197340.0858016,-31051680.30729723
7,273286577.28463554,82547511.16269842,177779680.20238096,103001428.57142857,103001428.57142857,16151087.074649595,341540.26044074586,0.0,161561780.90986264,94030427.43928203,62978747.13198483
8,247248482.0465403,112395080.73214284,235756855.29166666,93014166.66666666,93014166.66666666,16151087.074649595,309128.5637232239,100000000.0,7426491.848643631,4039519.505503397,67018266.637488246
9,274591431.65356755,83943430.68650793,180000423.72619045,103715595.23809525,103715595.23809525,16151087.074649595,343171.32840191096,0.0,162040180.21083352,82373010.90755929,149391277.54504752
10,245943627.67760828,111277708.79960316,233969457.35912696,92308333.33333334,92308333.33333334,16151087.074649595,307497.4957620589,0.0,106793294.54767287,50736724.94209709,200128002.4871446
11,275896286.0224996,85060802.61904761,181787821.65873015,104421428.57142857,104421428.57142857,16151087.074649595,344802.396363076,0.0,162673377.51180437,72228925.06532398,272356927.55246854
12,244908707.04268762,110974199.42261903,233026125.60515875,92000000.0,92000000.0,16151087.074649595,306175.41223609186,0.0,106399518.3732622,44152017.39736704,316508944.94983554
13,276931206.6574203,85364311.99603173,182731153.4126984,104729761.90476191,104729761.90476191,16151087.074649595,346124.4798890431,0.0,163067153.686215,63240253.643135965,379749198.59297144
14,244560271.22823238,110974199.42261903,232864437.9424603,91922738.09523809,91922738.09523809,16151087.074649595,305700.33903529047,0.0,106213245.29470623,38496567.99036384,418245766.5833353
15,277143781.7845585,85364311.99603175,182848935.01587301,104789047.61904763,104789047.61904763,16151087.074649595,346489.0198797965,0.0,163161582.67018783,55268473.081642374,473514239.66497767
16,244653968.25396824,110974199.42261904,232892109.67063493,91933333.33333334,91933333.33333334,16151087.074649595,305765.4877484975,0.0,106279205.44355425,33645274.6823031,507159514.34728086
17,276121312.99121594,85364311.99603173,182594896.30753967,104580357.14285713,104580357.14285713,16151087.074649595,345205.8098320234,100000000.0,62394435.795226395,18460262.13105218,525619776.4783331
18,245035537.06272152,110894454.69047618,232901485.98214284,91957023.80952382,91957023.80952382,16151087.074649595,306300.8938203113,0.0,106571117.80258492,29467802.130694527,555087578.6090277
19,276339405.14717215,85444056.7281746,182656636.76984125,104668214.2857143,104668214.2857143,16151087.074649595,345356.29526891664,0.0,162630381.735587,42026781.07534915,597114359.6843768
20,244195654.1840037,110266238.6984127,232047274.25595236,91413214.2857143,91413214.2857143,16151087.074649595,305312.52889505314,0.0,105958219.02291942,25590296.541903082,622704656.2262799
21,277571644.3211589,86072272.72023809,183679020.21031743,105307500.0,105307500.0,16151087.074649595,346931.73062105104,0.0,163466878.0258089,36896626.44119643,659601282.6674763
22,242963415.01001695,109521552.51190475,230885740.62103173,90715952.38095239,90715952.38095239,16151087.074649595,303737.09354291885,0.0,105144402.73269743,22179884.057656303,681781166.7251326
23,278259855.13946676,86724333.64285713,184308874.96031743,105866190.47619048,105866190.47619048,16151087.074649595,347778.8179996918,0.0,164176447.92935717,32366831.784472294,714147998.5096048
24,242452180.61334568,108874139.53373015,230252406.30753967,90257619.04761904,90257619.04761904,16151087.074649595,303090.8460471568,0.0,104619735.9188394,19276100.295640044,733424098.8052448
