,energy_mwh
2021-01-01,3728.050132050556
2021-01-02,3359.227740049047
2021-01-03,3583.8499811356346
2021-01-04,3922.118232408979
2021-01-05,4005.566874174684
2021-01-06,3779.850264101113
2021-01-07,3972.8921429918882
2021-01-08,4243.421760045274
2021-01-09,3712.5686191284667
2021-01-10,4409.922184493492
2021-01-11,4320.64091680815
2021-01-12,4061.0830503678553
2021-01-13,5259.533342765516
2021-01-14,4930.525136766648
2021-01-15,4208.630447085456
2021-01-16,4354.754763252216
2021-01-17,5675.622052442935
2021-01-18,5152.818336162988
2021-01-19,4844.354602905112
2021-01-20,4993.272967364648
2021-01-21,4015.877192982456
2021-01-22,5061.909545368798
2021-01-23,4940.923646481796
2021-01-24,4751.710054706659
2021-01-25,4864.4100169779285
2021-01-26,4724.627428787021
2021-01-27,3655.9300132050553
2021-01-28,4465.747028862479
2021-01-29,5067.116817581588
2021-01-30,6584.73802112809
2021-01-31,7290.293340879079
2021-02-01,7648.1479909451045
2021-02-02,7469.172561780796
2021-02-03,7448.23523863422
2021-02-04,7439.043340879079
2021-02-05,6899.403178645539
2021-02-06,6884.635210337672
2021-02-07,7672.761271458216
2021-02-08,7514.739200150915
2021-02-09,8234.709724580267
2021-02-10,8093.463969062441
2021-02-11,7367.396245991322
2021-02-12,6989.113374834937
2021-02-13,9227.045840407469
2021-02-14,10589.98820977174
2021-02-15,10245.634785889455
2021-02-16,9916.674684021882
2021-02-17,11496.566685531032
2021-02-18,9210.417845689493
2021-02-19,10319.35035842294
2021-02-20,11924.308621014901
2021-02-21,11897.169873608753
2021-02-22,11457.530182984341
2021-02-23,11773.04117147708
2021-02-24,12909.172561780795
2021-02-25,12429.830928126768
2021-02-26,13203.986747783436
2021-02-27,14165.79678362573
2021-02-28,14263.219675532919
2021-03-01,13390.303139400921
2021-03-02,13016.649145545316
2021-03-03,12656.541618663596
2021-03-04,15069.200028801843
2021-03-05,14997.999471966205
2021-03-06,12970.019921274961
2021-03-07,14914.860071044544
2021-03-08,13097.515841013827
2021-03-09,15068.306451612902
2021-03-10,15183.443260368664
2021-03-11,13937.804819508448
2021-03-12,16642.450796850997
2021-03-13,16362.320468509984
2021-03-14,15228.868807603685
2021-03-15,15290.766369047618
2021-03-16,14242.33918970814
2021-03-17,15061.206797235023
2021-03-18,15382.323348694317
2021-03-19,17971.167434715822
2021-03-20,19169.209629416284
2021-03-21,19283.228446620582
2021-03-22,18564.73934331797
2021-03-23,21694.944316436253
2021-03-24,21183.773281490012
2021-03-25,19850.172571044546
2021-03-26,21882.81994047619
2021-03-27,22450.180251536098
2021-03-28,20738.46174155146
2021-03-29,22889.579493087556
2021-03-30,23690.971342165896
2021-03-31,23832.23406298003
2021-04-01,20496.212557603685
2021-04-02,24736.146553379414
2021-04-03,23184.896553379418
2021-04-04,20277.433035714286
2021-04-05,22291.478494623658
2021-04-06,25133.26204877112
2021-04-07,26419.837749615974
2021-04-08,25904.87615207373
2021-04-09,27866.286242319507
2021-04-10,27362.928907450074
2021-04-11,26232.32934907834
2021-04-12,26315.448348694317
2021-04-13,26941.37264784946
2021-04-14,26837.636088709674
2021-04-15,26754.85575076805
2021-04-16,25507.30774769585
2021-04-17,27032.240063364054
2021-04-18,27828.356134792626
2021-04-19,29851.239439324116
2021-04-20,32762.23646313364
2021-04-21,31928.64319316436
2021-04-22,30700.76204877112
2021-04-23,32734.168346774197
2021-04-24,31632.379512288786
2021-04-25,34193.03307411674
2021-04-26,31048.816484254992
2021-04-27,32025.484110983103
2021-04-28,30504.676939324116
2021-04-29,31460.355702764977
2021-04-30,33967.82306067588
2021-05-01,33778.60095046083
2021-05-02,35501.57282066052
2021-05-03,34353.30165130568
2021-05-04,34703.583909370194
2021-05-05,36221.922523041474
2021-05-06,36020.83501344086
2021-05-07,34797.09125384024
2021-05-08,37463.80304339478
2021-05-09,38651.983246927804
2021-05-10,34943.168682795695
2021-05-11,35786.96260560676
2021-05-12,37005.69988479262
2021-05-13,40439.45996543779
2021-05-14,39877.18365975422
2021-05-15,40627.959869431645
2021-05-16,41994.38628072196
2021-05-17,39995.16441052227
2021-05-18,39513.74255952381
2021-05-19,36608.40893817204
2021-05-20,37611.71658986175
2021-05-21,35793.996975806454
2021-05-22,34934.58381336406
2021-05-23,36941.53369815668
2021-05-24,35367.20574116743
2021-05-25,32458.726238479263
2021-05-26,37103.96889400922
2021-05-27,33291.9930875576
2021-05-28,32498.72095814132
2021-05-29,35230.90053763441
2021-05-30,33205.72412634409
2021-05-31,31536.76267281106
2021-06-01,33528.130040322576
2021-06-02,37520.42890745008
2021-06-03,33179.73286290323
2021-06-04,32762.91786674347
2021-06-05,36131.556979646695
2021-06-06,36702.28758640553
2021-06-07,37976.222638248844
2021-06-08,37566.22575844854
2021-06-09,38333.45766129032
2021-06-10,37932.62096774193
2021-06-11,36638.63551267281
2021-06-12,38874.451324884794
2021-06-13,39069.557171658984
2021-06-14,38715.7658890169
2021-06-15,35133.549587173584
2021-06-16,33381.53033794163
2021-06-17,40182.13013632872
2021-06-18,34959.02049731183
2021-06-19,35449.4352438556
2021-06-20,34487.74217549923
2021-06-21,34406.67962749616
2021-06-22,37384.3848406298
2021-06-23,39721.134072580644
2021-06-24,38748.1754032258
2021-06-25,39139.615255376346
2021-06-26,40174.61021505376
2021-06-27,39149.7016609063
2021-06-28,40000.52587365591
2021-06-29,37356.74515168971
2021-06-30,38784.42036290323
2021-07-01,37870.16033026114
2021-07-02,41830.80861175115
2021-07-03,38510.49611175115
2021-07-04,35668.98185483871
2021-07-05,33203.45958141321
2021-07-06,37649.92823540706
2021-07-07,42369.37043970814
2021-07-08,38074.320276497696
2021-07-09,39464.83246927804
2021-07-10,41484.32915706605
2021-07-11,41053.204685099845
2021-07-12,37340.587317588324
2021-07-13,33276.95732526882
2021-07-14,29897.293346774193
2021-07-15,29135.51267281106
2021-07-16,27631.593701996924
2021-07-17,30418.70583717358
2021-07-18,29382.833621351765
2021-07-19,30644.176987327188
2021-07-20,27127.632488479263
2021-07-21,30986.886280721967
2021-07-22,35021.30160330261
2021-07-23,33479.91767473118
2021-07-24,32587.915466589864
2021-07-25,31151.998127880182
2021-07-26,32245.94470046083
2021-07-27,31149.713181643623
2021-07-28,34385.882536482335
2021-07-29,32287.616407450078
2021-07-30,34984.58741359447
2021-07-31,33334.15034562212
2021-08-01,38113.9494047619
2021-08-02,37498.47519841269
2021-08-03,36824.74057539683
2021-08-04,37234.174107142855
2021-08-05,35942.33432539683
2021-08-06,39348.979166666664
2021-08-07,37046.55853174603
2021-08-08,33657.27628968254
2021-08-09,36461.07886904762
2021-08-10,33246.94890873016
2021-08-11,31440.589285714286
2021-08-12,32945.435019841265
2021-08-13,33983.43849206349
2021-08-14,34742.080357142855
2021-08-15,29944.133928571428
2021-08-16,29422.48859126984
2021-08-17,30900.03819444444
2021-08-18,29722.197916666668
2021-08-19,30785.246031746028
2021-08-20,28566.754464285714
2021-08-21,26393.03125
2021-08-22,26755.959325396827
2021-08-23,29718.116567460318
2021-08-24,28871.41369047619
2021-08-25,26683.743055555555
2021-08-26,26493.488095238095
2021-08-27,25541.59771825397
