,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-01-01,71144.14204976488,166467.41426694434,237611.55631670923
2021-01-02,83428.4817003116,165681.07465327872,249109.5563535903
2021-01-03,81565.72706317944,154058.25439085998,235623.9814540394
2021-01-04,13320.57540845813,16411.359544178886,29731.934952637013
2021-01-05,10470.672231970737,13786.937059941698,24257.609291912435
2021-01-06,16306.608260987734,64556.88638353362,80863.49464452136
2021-01-07,25231.93391742024,107377.62759648918,132609.56151390943
2021-01-08,9373.383974470422,17380.29358220333,26753.67755667375
2021-01-09,21097.9764241999,75673.7507799204,96771.72720412031
2021-01-10,18150.390646029777,68879.11390386929,87029.50454989907
2021-01-11,10370.669027839409,28909.785252597747,39280.45428043716
2021-01-12,9067.486253171923,18004.610887470502,27072.097140642425
2021-01-13,7312.878644601377,8662.795923460908,15975.674568062284
2021-01-14,10890.87107660279,12566.97132414335,23457.84240074614
2021-01-15,5643.751911607504,3136.536431318924,8780.288342926428
2021-01-16,5024.053473517245,6998.888865586359,12022.942339103603
2021-01-17,2662.967836518943,804.0385544848823,3467.0063910038252
2021-01-18,1450.5093856003357,315.64625634098246,1766.1556419413182
2021-01-19,713.4515096849775,3.1651194501870386,716.6166291351645
2021-01-20,1894.6277014768427,971.5978095533148,2866.2255110301576
2021-01-21,5778.712708777784,10907.356856987994,16686.069565765778
2021-01-22,6402.02030298562,9162.614783732182,15564.635086717803
2021-01-23,11926.84128002384,34864.03422415952,46790.87550418336
2021-01-24,14744.609857809382,39499.64293674672,54244.2527945561
2021-01-25,5307.802499472011,5817.478581718914,11125.281081190926
2021-01-26,19433.21312913599,38723.82163942064,58157.03476855663
2021-01-27,10454.643032598298,18011.091900019797,28465.734932618096
2021-01-28,10347.606011845595,13869.149127423461,24216.755139269055
2021-01-29,12027.713142049337,15615.276017897533,27642.98915994687
2021-01-30,10726.577160350706,17920.291866346957,28646.869026697663
2021-01-31,10540.484208936436,17841.539351284264,28382.0235602207
2021-02-01,6142.11889813523,4346.135555151601,10488.25445328683
2021-02-02,6926.455763500885,6438.28939425202,13364.745157752906
2021-02-03,11926.237147369855,17832.208326370765,29758.445473740616
2021-02-04,11180.56814248768,27259.808199689956,38440.37634217764
2021-02-05,9165.433553182354,16153.319039964354,25318.752593146706
2021-02-06,6308.271311671336,6495.090627489715,12803.361939161052
2021-02-07,10244.45490056339,11412.92817566478,21657.38307622817
2021-02-08,9176.619477222108,8649.455833979144,17826.075311201253
2021-02-09,8523.829787632929,14344.041848614577,22867.871636247506
2021-02-10,10503.686167535043,18708.531465191125,29212.21763272617
2021-02-11,10189.566635733914,15628.232398963462,25817.79903469738
2021-02-12,5859.019224389417,8626.756156168281,14485.775380557698
2021-02-13,13155.454532059386,56686.550680255015,69842.0052123144
2021-02-14,4774.3158674204915,19833.51636898786,24607.832236408354
2021-02-15,3347.1997991977737,2424.86964709301,5772.069446290783
2021-02-16,3708.4392121335427,2945.716325508422,6654.155537641965
2021-02-17,3076.281135540236,4593.94118725985,7670.222322800086
2021-02-18,2635.2262745796484,5835.3527577128425,8470.579032292491
2021-02-19,13742.545125054738,28733.314819477164,42475.859944531905
2021-02-20,8913.015013317621,18799.183363672095,27712.198376989716
2021-02-21,12913.993283187674,26237.624428235264,39151.617711422936
2021-02-22,9721.72783024956,22729.945930462483,32451.67376071204
2021-02-23,11352.982209465337,23520.40115649595,34873.38336596129
2021-02-24,4631.966612234352,7378.702939665397,12010.66955189975
2021-02-25,2465.9259321374116,1545.020367744336,4010.946299881748
2021-02-26,3490.314035836401,3683.336177137554,7173.650212973956
2021-02-27,3495.179719784181,7240.98122322949,10736.16094301367
2021-02-28,11120.438049972501,23564.83614069898,34685.27419067148
2021-03-01,7314.895260739317,3156.356603847099,10471.251864586417
2021-03-02,6032.469169828294,3055.983400479093,9088.452570307387
2021-03-03,4502.524151817118,3689.3825647615076,8191.9067165786255
2021-03-04,3201.594110038469,2929.263857916493,6130.857967954962
2021-03-05,4944.399180561145,8611.277204539743,13555.67638510089
2021-03-06,1657.8632107922501,813.9882436068158,2471.851454399066
2021-03-07,2307.1255476330525,717.2819938933864,3024.4075415264388
2021-03-08,2754.369383760393,1163.4381316331671,3917.80751539356
2021-03-09,1916.4021707922707,265.50989587973754,2181.912066672008
2021-03-10,1999.0606989344851,246.6431538878648,2245.7038528223497
2021-03-11,12775.930557784037,19737.183744140704,32513.11430192474
2021-03-12,11831.51331674982,25843.92471559621,37675.43803234603
2021-03-13,15612.431424858005,39359.29523132513,54971.726656183135
2021-03-14,5724.519571122003,5765.463375286932,11489.982946408934
2021-03-15,9389.880807118674,14128.199826195067,23518.08063331374
2021-03-16,10436.67122113602,18408.772326703616,28845.443547839637
2021-03-17,10615.67156747944,14527.096426471675,25142.767993951114
2021-03-18,4307.71130933446,1471.3487930842316,5779.060102418692
