,energy_onshore_mwh,energy_offshore_mwh,energy_total_mwh
2021-01-31,522811.38183139917,1152879.0458713647,1675690.4277027638
2021-02-28,218691.265641595,411648.0905351355,630339.3561767305
2021-03-31,270984.3577918151,534310.8433296465,805295.2011214617
2021-04-30,218915.36521529916,612178.3359211852,831093.7011364844
2021-05-31,397406.7626548886,1568365.3401605568,1965772.1028154455
2021-06-30,235478.12304647168,953250.5768771432,1188728.699923615
2021-07-31,250970.30425843096,1389382.8582087671,1640353.162467198
2021-08-31,211613.2664760733,1299518.0471342735,1511131.3136103468
2021-09-30,197118.89959720994,877776.416505973,1074895.316103183
2021-10-31,267384.685642224,1100058.9530202716,1367443.6386624957
2021-11-30,351414.2873671634,1086464.3060725462,1437878.5934397096
2021-12-31,434990.82552417024,1291821.1890771294,1726812.0146012995
