Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-01T00:00+01:00,11861.94421,40704.85924,2.16
2025-01-01T01:00+01:00,11905.51189,41108.02083,1.6
2025-01-01T02:00+01:00,11297.8102,41498.91648,0
2025-01-01T03:00+01:00,11191.56561,39674.87149,-0.01
2025-01-01T04:00+01:00,11178.66538,39534.95247,-0.01
2025-01-01T05:00+01:00,11102.00181,39800.27706,-0.06
2025-01-01T06:00+01:00,10995.2735,41587.02473,-0.09
2025-01-01T07:00+01:00,10695.02109,42628.60439,-0.01
2025-01-01T08:00+01:00,10247.33665,44053.28045,-0.01
2025-01-01T09:00+01:00,10161.23763,45911.13385,-0.04
2025-01-01T10:00+01:00,10225.72212,51027.98361,-0.03
2025-01-01T11:00+01:00,10244.38577,53633.30479,-0.1
2025-01-01T12:00+01:00,9975.730076,55535.53602,-0.05
2025-01-01T13:00+01:00,9902.625022,55634.53714,-0.1
2025-01-01T14:00+01:00,9888.877837,53862.1372,-1.01
2025-01-01T15:00+01:00,9948.128613,53573.59256,-0.01
2025-01-01T16:00+01:00,10198.16004,52062.48778,-0.01
2025-01-01T17:00+01:00,10546.87598,53907.37024,0.07
2025-01-01T18:00+01:00,10791.72648,53283.26536,1.01
2025-01-01T19:00+01:00,10937.5832,52186.77753,1.48
2025-01-01T20:00+01:00,10811.98348,51845.95107,1
2025-01-01T21:00+01:00,10888.24863,50579.50682,0.07
2025-01-01T22:00+01:00,10908.39222,48681.49944,10.05
2025-01-01T23:00+01:00,10944.99922,48785.08376,7.01
2025-01-02T00:00+01:00,11345.95719,46812.36564,2.55
2025-01-02T01:00+01:00,11218.73949,46009.11373,1.56
2025-01-02T02:00+01:00,10939.51591,44442.98069,3.45
2025-01-02T03:00+01:00,10922.38055,43274.9616,7.02
2025-01-02T04:00+01:00,12115.38803,41088.72186,12.75
2025-01-02T05:00+01:00,13568.85392,39721.907,30.07
2025-01-02T06:00+01:00,16498.50411,39290.4188,67.13
2025-01-02T07:00+01:00,20007.42858,36707.67864,98.83
2025-01-02T08:00+01:00,22710.41077,33986.85313,121.53
2025-01-02T09:00+01:00,23916.3882,32077.73907,127.23
2025-01-02T10:00+01:00,25003.00271,30360.08394,126.35
2025-01-02T11:00+01:00,25104.48003,30071.90366,119.97
2025-01-02T12:00+01:00,25041.80662,29569.79009,115.95
2025-01-02T13:00+01:00,24815.00337,28939.55686,113.9
2025-01-02T14:00+01:00,24644.86842,26086.87512,122.21
2025-01-02T15:00+01:00,24840.69502,24219.88066,130.11
2025-01-02T16:00+01:00,24996.8335,24834.45291,138.59
2025-01-02T17:00+01:00,24907.13563,27523.94438,152.87
2025-01-02T18:00+01:00,25440.98012,28341.79292,152.94
2025-01-02T19:00+01:00,25635.29052,30356.9284,139.15
2025-01-02T20:00+01:00,25378.47768,30998.56618,130
2025-01-02T21:00+01:00,24269.22937,30401.32397,119.78
2025-01-02T22:00+01:00,23828.31444,30793.21397,113.42
2025-01-02T23:00+01:00,22089.90603,30894.53115,82.47
2025-01-03T00:00+01:00,20958.44203,30636.80124,99.56
2025-01-03T01:00+01:00,20303.46816,30756.47014,87.53
2025-01-03T02:00+01:00,20796.45966,31834.99551,85.01
2025-01-03T03:00+01:00,20862.58816,32096.30373,83.79
2025-01-03T04:00+01:00,20949.62147,33751.05002,77.5
2025-01-03T05:00+01:00,21293.18502,35134.42935,79.88
2025-01-03T06:00+01:00,21890.41423,37480.46146,83.56
2025-01-03T07:00+01:00,21390.97916,38711.48954,78.43
2025-01-03T08:00+01:00,21874.4367,40883.8233,82.57
2025-01-03T09:00+01:00,22001.68846,42965.4815,80.76
2025-01-03T10:00+01:00,22224.95554,45711.0259,77.64
2025-01-03T11:00+01:00,22260.39211,48604.54322,70.48
2025-01-03T12:00+01:00,21725.38861,48351.94653,69.94
2025-01-03T13:00+01:00,21288.29049,47306.37585,77.8
2025-01-03T14:00+01:00,20515.65291,45856.7499,78.81
2025-01-03T15:00+01:00,21371.2625,43197.89128,85.29
2025-01-03T16:00+01:00,22705.66206,41576.93051,105.51
2025-01-03T17:00+01:00,23655.71336,40915.32485,116.66
2025-01-03T18:00+01:00,23661.57838,39410.98173,115.06
2025-01-03T19:00+01:00,23787.95639,39244.08261,114.91
2025-01-03T20:00+01:00,23734.32368,38548.21652,113.3
2025-01-03T21:00+01:00,23994.76813,37949.23237,107.8
2025-01-03T22:00+01:00,23541.39453,35707.95014,98.22
2025-01-03T23:00+01:00,22960.42598,33541.36588,88.57
2025-01-04T00:00+01:00,21336.28534,31696.65771,90.43
2025-01-04T01:00+01:00,21361.94901,29736.32067,90.29
2025-01-04T02:00+01:00,21639.66315,26559.1185,90.2
2025-01-04T03:00+01:00,21947.90059,23403.60119,91.52
2025-01-04T04:00+01:00,22633.00369,21029.99215,95.95
2025-01-04T05:00+01:00,23534.72748,18302.59714,102.11
2025-01-04T06:00+01:00,24877.68301,17316.99397,110.66
2025-01-04T07:00+01:00,25461.93307,16584.85386,119.96
2025-01-04T08:00+01:00,26245.51306,16885.75325,128.39
2025-01-04T09:00+01:00,26607.65621,18555.24439,130.75
2025-01-04T10:00+01:00,26799.55155,20250.06579,130.34
2025-01-04T11:00+01:00,26696.70407,22139.99372,128.29
2025-01-04T12:00+01:00,26812.27199,21611.10368,130.03
2025-01-04T13:00+01:00,27140.90162,21318.4773,129.85
2025-01-04T14:00+01:00,27501.18357,19695.54852,136.4
2025-01-04T15:00+01:00,27859.10069,17893.39297,138.72
2025-01-04T16:00+01:00,28009.1754,18035.70209,142
2025-01-04T17:00+01:00,28313.51006,18668.05315,151.24
2025-01-04T18:00+01:00,28277.32081,19242.1048,143.85
2025-01-04T19:00+01:00,27954.04638,19569.20659,137.96
2025-01-04T20:00+01:00,27308.01895,19061.72664,129.49
2025-01-04T21:00+01:00,26280.77861,18943.15034,122.83
2025-01-04T22:00+01:00,24778.73573,18434.33163,118.29
2025-01-04T23:00+01:00,23625.05109,17788.54305,109.49
2025-01-05T00:00+01:00,22427.78432,16569.88818,113.84
2025-01-05T01:00+01:00,21191.09944,16368.83573,100.33
2025-01-05T02:00+01:00,20540.96142,15995.51888,93.61
2025-01-05T03:00+01:00,19620.44575,15046.07567,93.87
2025-01-05T04:00+01:00,19178.04757,15393.74964,89.38
2025-01-05T05:00+01:00,19063.82487,17019.49693,83.55
2025-01-05T06:00+01:00,18616.10156,19229.4801,83.92
2025-01-05T07:00+01:00,18565.05286,22491.39124,82.53
2025-01-05T08:00+01:00,18874.0104,26510.76689,84.05
2025-01-05T09:00+01:00,18987.48841,29924.90981,89.15
2025-01-05T10:00+01:00,19141.56218,33485.45974,82.95
2025-01-05T11:00+01:00,18292.15773,35980.86151,88.82
2025-01-05T12:00+01:00,17885.0691,37395.77867,81.66
2025-01-05T13:00+01:00,16592.41676,38320.24479,78.39
2025-01-05T14:00+01:00,16013.93973,39239.13848,68
2025-01-05T15:00+01:00,15182.38546,39867.87873,50.64
2025-01-05T16:00+01:00,15085.68669,42005.02459,49.91
2025-01-05T17:00+01:00,14859.80932,43580.93032,66.3
2025-01-05T18:00+01:00,14485.55345,43660.7058,65.05
2025-01-05T19:00+01:00,13323.64372,43224.66315,51.28
2025-01-05T20:00+01:00,12211.80764,42177.42546,36.85
2025-01-05T21:00+01:00,12104.86305,41214.42909,36.8
2025-01-05T22:00+01:00,12444.49375,39311.89919,34.68
2025-01-05T23:00+01:00,11628.97301,39002.17517,28.14
2025-01-06T00:00+01:00,9661.97303,40089.34004,27.52
2025-01-06T01:00+01:00,9681.130187,40677.35428,19.26
2025-01-06T02:00+01:00,9914.39111,41907.47032,11.35
2025-01-06T03:00+01:00,9945.427855,43669.91357,9.2
2025-01-06T04:00+01:00,9944.495071,44995.31932,10
2025-01-06T05:00+01:00,9833.42437,46544.68744,14.81
2025-01-06T06:00+01:00,9971.776126,48099.28328,23.82
2025-01-06T07:00+01:00,10658.63278,49515.9226,31.72
2025-01-06T08:00+01:00,11313.46532,50189.77952,41.37
2025-01-06T09:00+01:00,11572.50522,52826.8833,36.36
2025-01-06T10:00+01:00,10911.30612,56227.83436,34.69
2025-01-06T11:00+01:00,10351.71199,59050.07475,32.83
2025-01-06T12:00+01:00,10132.31208,60506.15483,31.28
2025-01-06T13:00+01:00,10001.3166,60381.24147,28.6
2025-01-06T14:00+01:00,10332.41544,57915.19821,25.61
2025-01-06T15:00+01:00,10685.91608,54538.74542,26.32
2025-01-06T16:00+01:00,11075.07509,53767.0945,26.87
2025-01-06T17:00+01:00,12068.76983,53566.30247,31.66
2025-01-06T18:00+01:00,13513.06656,51591.05614,31.58
2025-01-06T19:00+01:00,14072.25578,51833.76357,28.74
2025-01-06T20:00+01:00,14358.23018,51061.21876,26.59
2025-01-06T21:00+01:00,14122.13218,49989.09169,13.82
2025-01-06T22:00+01:00,13433.44824,47413.61169,26.94
2025-01-06T23:00+01:00,12767.91861,46833.00759,12.99
