Month.Year,Biomass,Wind offshore,Wind onshore,Solar AC
,Power (GW),Power (GW),Power (GW),Power (GW)
01.2002,0.59,,8.852,0.187
02.2002,0.592,,8.975,0.189
03.2002,0.592,,9.162,0.192
04.2002,0.607,,9.34,0.198
05.2002,0.608,,9.446,0.202
06.2002,0.632,,9.688,0.208
07.2002,0.632,,9.927,0.214
08.2002,0.633,,10.144,0.22
09.2002,0.639,,10.464,0.227
10.2002,0.667,,10.744,0.234
11.2002,0.694,,11.096,0.245
12.2002,0.716,,11.976,0.278
01.2003,0.72,,12.063,0.291
02.2003,0.72,,12.184,0.293
03.2003,0.722,,12.326,0.298
04.2003,0.724,,12.438,0.307
05.2003,0.741,,12.532,0.317
06.2003,0.777,,12.677,0.328
07.2003,0.779,,12.854,0.344
08.2003,0.788,,12.987,0.357
09.2003,0.802,,13.142,0.372
10.2003,0.823,,13.35,0.388
11.2003,0.891,,13.634,0.401
12.2003,0.909,,14.381,0.412
01.2004,0.937,,14.438,0.458
02.2004,0.959,,14.541,0.472
03.2004,0.971,,14.685,0.501
04.2004,0.979,,14.807,0.54
05.2004,0.98,,14.9,0.578
06.2004,0.982,,15.035,0.63
07.2004,1.159,,15.253,0.685
08.2004,1.166,,15.281,0.729
09.2004,1.172,,15.395,0.779
10.2004,1.23,,15.55,0.834
11.2004,1.274,,15.743,0.892
12.2004,1.361,,16.419,1.01
01.2005,1.37,,16.486,1.035
02.2005,1.373,,16.555,1.049
03.2005,1.379,,16.632,1.091
04.2005,1.387,,16.709,1.167
05.2005,1.398,,16.776,1.232
06.2005,1.413,,16.904,1.318
07.2005,1.452,,17.026,1.387
08.2005,1.469,,17.085,1.462
09.2005,1.546,,17.284,1.535
10.2005,1.578,,17.414,1.602
11.2005,1.633,,17.595,1.68
12.2005,1.813,,18.248,1.874
01.2006,1.851,,18.364,1.895
02.2006,1.868,,18.555,1.921
03.2006,1.898,,18.693,1.966
04.2006,1.913,,18.781,2.024
05.2006,1.934,,18.895,2.092
06.2006,1.997,,19.043,2.161
07.2006,2.023,,19.15,2.23
08.2006,2.064,,19.299,2.29
09.2006,2.099,,19.447,2.345
10.2006,2.142,,19.578,2.405
11.2006,2.235,,19.85,2.476
12.2006,2.51,,20.474,2.664
