Date (GMT+1),Hydro Run-of-River,Biomass,Fossil brown coal / lignite,Fossil hard coal,Fossil oil,Fossil coal-derived gas,Fossil gas,Geothermal,Hydro water reservoir,Hydro pumped storage,Others,Waste,Wind offshore,Wind onshore,Solar,Load
,Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW),Power (MW)
2026-01-01T00:00+01:00,1168.8,4279.6,4364.7,4729.9,395.3,562,6661.5,24.2,15.4,843.6,219,1054.7,2832.9,32111.2,0,46427.4
2026-01-01T00:15+01:00,1148.3,4287.7,4022,4556.3,395.3,621.4,6380.6,24.2,19.1,900.7,219.1,1046.4,3178,32519.5,0,46085.1
2026-01-01T00:30+01:00,1172.1,4272.6,3816.6,4425.9,395.6,623.9,6214.8,24.1,43,212.6,218.9,1041.2,3234.8,33407.4,0,46038.6
2026-01-01T00:45+01:00,1209.5,4251.1,3587.4,4410.5,395.5,597,6133.9,24.2,68.5,424.7,219.2,1054.5,3401.9,33905.9,0,45940.4
2026-01-01T01:00+01:00,1178.4,4224.5,3125.8,4419.2,395.6,584,5852.6,24.1,66.6,585.1,219.1,1028.9,3729.8,34217.8,0,45656
2026-01-01T01:15+01:00,1210.4,4205.7,3087.2,4440.3,395.3,581.8,5700.1,24.2,107,238.4,219.1,1027.8,3956.2,34566.8,0,45804.2
2026-01-01T01:30+01:00,1224.9,4197.8,3059.6,4466.5,395.3,570.1,5513.7,24.3,122.7,242.6,219.1,1020.4,4189.6,34811.9,0,45553.5
2026-01-01T01:45+01:00,1209.3,4186.3,3055.1,4472.3,395.3,570.8,5302.9,24.4,113.2,96.3,219,1011.6,4299.3,34675.2,0,45379.3
2026-01-01T02:00+01:00,1176.8,4143,2885,4498.2,395.3,576.6,4999.8,24.4,38.9,178.3,218.9,965.2,4747.3,35090.7,0,44957.3
2026-01-01T02:15+01:00,1153.1,4134.7,2823.7,4520.5,395.3,578.4,4933.8,24.4,57.1,2.6,218.9,971.9,4834.8,35323,0,44842.2
