Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;-5.17;13.85;-4.39;2.01;2.01;0.00;-3.61;119.32;12.06;18.09;2.01;0.03;4.84;-;195.90;13.31;19.76
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;-1.07;9.79;-1.75;1.38;1.38;-0.10;-1.46;108.83;-0.10;5.75;1.38;-7.25;-0.35;-;191.09;-0.07;0.19
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;-1.47;8.91;-1.46;0.09;0.09;-1.33;-1.52;102.39;-0.66;5.27;0.09;-3.99;-0.97;-;187.95;-0.47;0.07
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;-5.08;6.58;-5.27;0.08;0.08;-4.08;-5.00;92.36;-1.99;5.74;0.08;-7.71;-1.93;-;187.82;-1.56;0.01
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;-4.49;5.42;-4.41;0.05;0.05;-4.16;-4.60;82.66;-2.42;5.22;0.05;-9.71;-3.07;-;187.74;-1.94;-0.77
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;-5.40;4.91;-5.40;0.00;0.08;-3.58;-4.05;79.58;-1.86;6.14;0.08;-15.15;-1.86;-;187.74;-1.42;0.01
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;-5.02;4.45;-4.69;-0.38;0.09;-4.37;-3.60;77.65;-3.35;5.31;0.09;-14.33;-3.44;-;187.22;-2.97;-2.56
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;-1.30;6.43;-1.31;0.00;0.53;-0.12;0.00;66.27;0.00;5.99;0.53;-0.66;-0.47;-;187.82;-0.12;0.02
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;-1.44;8.13;-1.57;0.00;2.03;-0.06;0.00;80.89;-0.22;6.63;2.03;0.02;-0.30;-;186.47;-0.06;0.30
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;-1.09;9.54;-1.03;0.04;3.10;0.00;0.00;93.73;0.29;6.64;3.10;-1.23;0.26;-;186.47;0.47;0.95
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;-1.07;10.63;-0.23;0.80;4.43;0.00;0.99;106.05;0.73;5.17;4.43;-6.11;0.69;-;177.25;0.94;1.60
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;-1.07;12.68;-0.74;0.08;6.06;0.00;0.58;116.28;1.14;8.53;6.06;0.28;1.17;-;168.50;1.41;2.32
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;-0.79;13.46;-0.57;0.04;6.06;0.00;0.04;120.02;1.34;10.72;6.06;2.96;1.34;-;173.00;1.59;2.43
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;-0.27;13.62;-0.12;0.00;5.68;0.10;0.00;122.17;1.53;14.06;5.68;-0.79;1.53;-;165.89;1.78;2.56
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;0.85;20.96;0.85;0.85;17.71;1.50;0.85;120.11;5.78;56.41;17.71;3.06;5.78;-;179.73;6.41;9.96
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;23.53;37.43;23.50;23.53;24.11;23.50;23.53;120.71;23.85;91.66;24.11;9.53;23.72;-;188.06;23.76;23.87
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;36.54;48.37;36.54;36.54;36.54;36.54;36.54;121.98;36.54;97.81;36.54;19.95;36.54;-;193.67;36.54;36.54
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;46.03;56.63;46.03;46.03;46.03;46.03;46.03;122.16;46.03;102.08;46.03;30.46;46.03;-;213.36;46.03;46.03
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;55.57;65.05;36.64;55.57;55.57;44.43;99.90;121.77;52.71;106.34;54.23;34.39;53.99;-;229.99;52.31;53.35
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;54.95;63.92;54.95;54.95;54.95;54.95;54.95;121.01;54.95;108.73;53.63;35.15;54.95;-;243.42;54.95;54.95
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;49.23;59.69;45.83;49.23;49.23;47.38;62.00;120.40;49.05;106.65;48.05;29.57;49.16;-;235.00;48.96;49.08
Jan 1, 2023 9:00 PM;Jan 1, 2023 10:00 PM;44.99;55.00;36.57;44.99;44.99;40.24;52.93;119.60;44.14;107.42;44.68;24.92;44.56;-;203.25;43.94;44.32
Jan 1, 2023 10:00 PM;Jan 1, 2023 11:00 PM;45.96;55.31;45.96;45.96;45.96;45.96;45.96;116.24;45.96;103.81;45.96;20.72;45.96;-;190.85;45.96;45.96
Jan 1, 2023 11:00 PM;Jan 2, 2023 12:00 AM;35.00;45.39;35.00;35.00;35.00;35.00;35.00;115.45;35.00;90.35;35.00;13.46;35.00;-;187.28;35.00;35.00
Jan 2, 2023 12:00 AM;Jan 2, 2023 1:00 AM;57.91;74.29;69.92;57.91;57.91;61.38;109.90;119.96;82.06;96.87;57.91;40.37;63.02;-;187.27;67.96;66.75
Jan 2, 2023 1:00 AM;Jan 2, 2023 2:00 AM;51.67;66.85;59.14;51.67;51.67;52.68;94.90;119.19;73.03;96.07;51.67;29.23;56.08;-;187.20;60.17;59.31
Jan 2, 2023 2:00 AM;Jan 2, 2023 3:00 AM;52.93;59.87;52.93;52.93;52.86;52.93;52.93;118.18;52.93;94.80;52.86;22.28;52.93;-;180.00;52.93;52.93
Jan 2, 2023 3:00 AM;Jan 2, 2023 4:00 AM;44.09;52.69;42.59;44.16;44.16;42.75;44.16;118.11;46.12;94.86;44.16;14.17;44.39;-;180.00;44.64;44.69
Jan 2, 2023 4:00 AM;Jan 2, 2023 5:00 AM;50.08;58.40;50.08;50.08;50.08;50.08;50.08;119.99;50.08;96.87;50.08;24.94;50.08;-;185.89;50.08;50.08
Jan 2, 2023 5:00 AM;Jan 2, 2023 6:00 AM;69.72;76.94;69.72;77.09;70.73;67.91;77.09;117.74;78.10;96.99;70.73;48.84;71.36;-;185.89;72.65;72.57
Jan 2, 2023 6:00 AM;Jan 2, 2023 7:00 AM;105.08;106.71;105.08;105.08;104.08;105.08;105.08;121.73;105.08;140.48;102.56;74.52;105.08;-;198.85;105.08;105.08
Jan 2, 2023 7:00 AM;Jan 2, 2023 8:00 AM;140.64;137.62;140.64;140.64;140.64;140.64;140.64;138.19;140.64;140.64;138.19;112.32;140.64;-;202.72;140.64;140.64
Jan 2, 2023 8:00 AM;Jan 2, 2023 9:00 AM;145.98;146.41;151.89;145.98;145.98;149.80;162.44;145.98;147.08;145.98;145.98;123.03;146.39;-;213.36;147.15;146.67
Jan 2, 2023 9:00 AM;Jan 2, 2023 10:00 AM;147.05;150.33;158.84;147.05;147.05;154.66;180.00;148.95;149.23;147.05;147.05;125.92;147.87;-;203.99;149.37;148.42
Jan 2, 2023 10:00 AM;Jan 2, 2023 11:00 AM;145.61;144.34;145.61;145.61;145.61;145.61;145.61;149.96;145.61;145.61;145.61;127.31;145.61;-;196.23;145.61;145.61
Jan 2, 2023 11:00 AM;Jan 2, 2023 12:00 PM;143.35;142.11;143.35;143.35;143.35;143.35;143.35;147.63;143.35;143.35;143.35;125.47;143.35;-;194.63;143.35;143.35
Jan 2, 2023 12:00 PM;Jan 2, 2023 1:00 PM;144.38;143.41;144.38;144.38;144.38;144.38;144.38;148.69;144.38;144.38;144.38;129.43;144.38;-;194.47;144.38;144.38
Jan 2, 2023 1:00 PM;Jan 2, 2023 2:00 PM;143.76;142.02;143.76;143.76;143.76;143.76;143.76;148.06;143.76;143.76;143.76;120.34;143.76;-;193.75;143.76;143.76
Jan 2, 2023 2:00 PM;Jan 2, 2023 3:00 PM;148.20;146.95;148.20;148.20;148.20;148.20;148.20;152.44;148.20;146.09;148.20;132.27;148.20;-;195.74;148.20;148.20
Jan 2, 2023 3:00 PM;Jan 2, 2023 4:00 PM;155.34;152.74;155.34;155.34;155.34;155.34;155.34;155.34;155.34;145.86;155.34;136.20;155.34;-;199.09;155.34;155.34
Jan 2, 2023 4:00 PM;Jan 2, 2023 5:00 PM;162.89;160.03;163.30;162.89;162.89;163.17;164.00;162.89;163.00;146.63;162.89;145.91;162.79;-;206.21;163.17;163.98
Jan 2, 2023 5:00 PM;Jan 2, 2023 6:00 PM;170.00;168.74;175.81;170.00;170.00;173.80;185.68;170.00;171.32;145.28;170.00;153.85;170.45;-;262.00;171.18;170.71
Jan 2, 2023 6:00 PM;Jan 2, 2023 7:00 PM;174.74;170.87;174.74;174.74;174.74;174.74;174.74;174.74;174.74;145.43;174.74;161.43;174.74;-;247.00;174.74;174.74
