Start date;End date;grid load [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Jan 1, 2022 12:00 AM;Jan 1, 2022 1:00 AM;41,989.50;10,458.75
Jan 1, 2022 1:00 AM;Jan 1, 2022 2:00 AM;40,105.50;9,643.00
Jan 1, 2022 2:00 AM;Jan 1, 2022 3:00 AM;38,784.00;9,728.75
Jan 1, 2022 3:00 AM;Jan 1, 2022 4:00 AM;37,751.00;10,143.50
Jan 1, 2022 4:00 AM;Jan 1, 2022 5:00 AM;37,877.25;11,621.75
Jan 1, 2022 5:00 AM;Jan 1, 2022 6:00 AM;37,047.75;12,206.25
Jan 1, 2022 6:00 AM;Jan 1, 2022 7:00 AM;35,607.00;11,881.25
Jan 1, 2022 7:00 AM;Jan 1, 2022 8:00 AM;36,905.75;14,569.25
Jan 1, 2022 8:00 AM;Jan 1, 2022 9:00 AM;39,465.25;18,287.00
Jan 1, 2022 9:00 AM;Jan 1, 2022 10:00 AM;42,335.75;21,125.50
Jan 1, 2022 10:00 AM;Jan 1, 2022 11:00 AM;44,777.00;22,867.50
Jan 1, 2022 11:00 AM;Jan 1, 2022 12:00 PM;47,649.00;25,307.00
Jan 1, 2022 12:00 PM;Jan 1, 2022 1:00 PM;48,608.50;26,696.00
Jan 1, 2022 1:00 PM;Jan 1, 2022 2:00 PM;47,331.25;27,110.00
Jan 1, 2022 2:00 PM;Jan 1, 2022 3:00 PM;46,064.50;28,397.00
Jan 1, 2022 3:00 PM;Jan 1, 2022 4:00 PM;45,934.50;31,063.75
Jan 1, 2022 4:00 PM;Jan 1, 2022 5:00 PM;47,765.25;33,818.75
Jan 1, 2022 5:00 PM;Jan 1, 2022 6:00 PM;50,899.25;35,608.50
Jan 1, 2022 6:00 PM;Jan 1, 2022 7:00 PM;51,889.50;35,010.50
Jan 1, 2022 7:00 PM;Jan 1, 2022 8:00 PM;50,618.75;32,308.75
Jan 1, 2022 8:00 PM;Jan 1, 2022 9:00 PM;48,448.50;28,790.00
Jan 1, 2022 9:00 PM;Jan 1, 2022 10:00 PM;47,135.75;26,174.00
Jan 1, 2022 10:00 PM;Jan 1, 2022 11:00 PM;46,635.00;24,665.25
Jan 1, 2022 11:00 PM;Jan 2, 2022 12:00 AM;44,251.00;21,255.00
Jan 2, 2022 12:00 AM;Jan 2, 2022 1:00 AM;45,268.75;21,442.50
Jan 2, 2022 1:00 AM;Jan 2, 2022 2:00 AM;44,192.00;20,339.50
Jan 2, 2022 2:00 AM;Jan 2, 2022 3:00 AM;43,833.75;19,892.00
Jan 2, 2022 3:00 AM;Jan 2, 2022 4:00 AM;43,677.00;19,690.50
Jan 2, 2022 4:00 AM;Jan 2, 2022 5:00 AM;44,285.50;20,411.00
Jan 2, 2022 5:00 AM;Jan 2, 2022 6:00 AM;44,142.25;20,448.50
Jan 2, 2022 6:00 AM;Jan 2, 2022 7:00 AM;43,777.25;19,774.50
Jan 2, 2022 7:00 AM;Jan 2, 2022 8:00 AM;44,556.00;20,162.00
Jan 2, 2022 8:00 AM;Jan 2, 2022 9:00 AM;47,161.50;21,731.00
Jan 2, 2022 9:00 AM;Jan 2, 2022 10:00 AM;50,689.00;22,802.00
Jan 2, 2022 10:00 AM;Jan 2, 2022 11:00 AM;52,986.00;22,117.75
Jan 2, 2022 11:00 AM;Jan 2, 2022 12:00 PM;55,138.75;21,518.00
Jan 2, 2022 12:00 PM;Jan 2, 2022 1:00 PM;55,285.25;19,247.00
Jan 2, 2022 1:00 PM;Jan 2, 2022 2:00 PM;54,394.25;16,603.00
Jan 2, 2022 2:00 PM;Jan 2, 2022 3:00 PM;53,391.50;14,528.50
Jan 2, 2022 3:00 PM;Jan 2, 2022 4:00 PM;52,753.00;13,509.50
Jan 2, 2022 4:00 PM;Jan 2, 2022 5:00 PM;54,016.25;14,513.00
Jan 2, 2022 5:00 PM;Jan 2, 2022 6:00 PM;56,906.00;16,629.00
Jan 2, 2022 6:00 PM;Jan 2, 2022 7:00 PM;58,009.75;17,314.50
Jan 2, 2022 7:00 PM;Jan 2, 2022 8:00 PM;57,553.75;16,837.25
Jan 2, 2022 8:00 PM;Jan 2, 2022 9:00 PM;55,727.75;15,474.75
