Datetime,Conventional,Biomass,Hydro,Other renewable generation,Wind offshore,Wind onshore,Solar,Nuclear,Lignite,Hard Coal,Natural Gas,Pumped storage generation,Other conventional generation,Total electricity demand,Total grid emissions,Grid emission factor
2023-01-01T00:00:00,18.539,4.571,1.954,0.471,3.04,27.307,0,2.454,4.023,2.125,7.37,0.022,2.074,43.124,11230.434,202.468
2023-01-01T01:00:00,18.435,4.549,1.879,0.471,3.563,27.872,0,2.454,4.031,2.109,7.216,0.089,2.065,41.779,11156.858,197.981
2023-01-01T02:00:00,18.405,4.537,1.873,0.471,3.818,27.835,0,2.455,4.024,2.091,7.219,0.085,2.06,42.291,11128.086,196.888
2023-01-01T03:00:00,18.406,4.543,1.874,0.471,3.441,25.688,0,2.455,4.029,2.094,7.213,0.084,2.061,41.402,11133.236,206.126
2023-01-01T04:00:00,18.372,4.558,1.906,0.471,3.44,25.146,0,2.456,4.004,2.097,7.198,0.083,2.062,40.973,11107.865,207.688
2023-01-01T05:00:00,18.333,4.576,1.879,0.471,3.319,25.485,0,2.46,3.966,2.093,7.188,0.1,2.055,41.338,11048.006,205.915
2023-01-01T06:00:00,18.355,4.615,1.874,0.471,3.248,25.321,0,2.459,3.963,2.09,7.225,0.088,2.059,41.083,11061.045,206.847
2023-01-01T07:00:00,18.376,4.677,1.969,0.471,3.458,25.797,0,2.459,3.993,2.088,7.217,0.086,2.062,40.927,11093.365,204.168
2023-01-01T08:00:00,18.337,4.727,1.875,0.471,3.098,25.127,0.608,2.458,3.95,2.094,7.212,0.083,2.07,,11064.553,205.593
2023-01-01T09:00:00,18.242,4.747,1.887,0.471,3.446,23.901,3.978,2.461,3.947,2.085,7.193,0.02,2.065,43.778,11040.389,196.619
2023-01-01T10:00:00,18.273,4.756,2.086,0.47,3.375,22.983,7.537,2.459,3.97,2.053,7.179,0.073,2.069,46.659,11032.865,187.452
2023-01-01T11:00:00,18.313,4.757,2.012,0.469,3.577,21.962,9.901,2.457,3.987,2.061,7.179,0.092,2.067,48.639,11056.924,183.359
2023-01-01T12:00:00,18.489,4.711,1.948,0.469,3.605,20.502,10.382,2.453,3.997,2.077,7.162,0.263,2.068,49.135,11075.568,186.432
2023-01-01T13:00:00,18.584,4.703,1.917,0.468,4.038,19.344,9.08,2.451,4.19,2.104,7.167,0.129,2.076,48.484,11314.952,196.861
2023-01-01T14:00:00,18.729,4.681,1.929,0.468,6.52,19.452,5.861,2.449,4.243,2.105,7.179,0.209,2.076,48.008,11376.653,199.365
2023-01-01T15:00:00,18.997,4.774,1.868,0.469,6.658,21.118,2.148,2.444,4.272,2.14,7.166,0.435,2.071,47.077,11421.612,205.575
2023-01-01T16:00:00,20.473,4.862,1.939,0.47,6.616,19.872,0.118,2.447,4.466,2.519,7.273,1.233,2.066,47.791,11969.352,221.857
2023-01-01T17:00:00,20.576,4.936,1.922,0.471,6.513,18.842,0,2.452,4.473,2.3,7.249,1.549,2.082,49.894,11814.196,223.501
2023-01-01T18:00:00,21.266,4.932,1.858,0.471,6.141,18.584,0,2.452,4.798,2.428,7.305,1.731,2.081,50.422,12278.263,232.297
2023-01-01T19:00:00,20.95,4.899,1.861,0.48,5.968,18.227,0,2.454,4.705,2.444,7.289,1.477,2.102,49.336,12215.109,234.979
2023-01-01T20:00:00,20.137,4.842,1.833,0.471,5.557,18.604,0,2.457,4.645,2.258,7.32,0.901,2.085,48.242,11989.635,234.881
2023-01-01T21:00:00,19.745,4.789,1.801,0.471,6.058,18.48,0,2.457,4.711,1.967,7.284,0.78,2.077,46.834,11792.402,231.528
2023-01-01T22:00:00,19.667,4.725,1.855,0.471,5.109,17.578,0,2.456,4.722,1.95,7.311,0.682,2.074,45.424,11801.012,240.848
2023-01-01T23:00:00,19.208,4.658,1.799,0.472,4.699,17.342,0,2.455,4.797,1.918,7.313,0.176,2.077,43.677,11857.439,248.214
2023-01-02T00:00:00,19.404,4.56,1.907,0.472,2.863,17.693,0,2.458,4.923,2.038,7.362,0.08,2.072,43.708,12099.302,260.191
2023-01-02T01:00:00,19.406,4.531,1.843,0.472,1.734,18.187,0,2.456,4.954,2.025,7.334,0.099,2.067,42.932,12102.207,264.363
2023-01-02T02:00:00,19.468,4.518,1.894,0.472,1.176,19.961,0,2.456,4.971,2.067,7.362,0.087,2.054,42.5,12144.106,257.872
2023-01-02T03:00:00,19.536,4.533,1.909,0.472,0.846,21.504,0,2.455,5.018,2.076,7.354,0.099,2.062,43.443,12210.853,252.289
2023-01-02T04:00:00,20.409,4.578,1.92,0.472,0.678,23.455,0,2.454,5.847,2.111,7.377,0.089,2.06,44.799,13113.147,256.604
2023-01-02T05:00:00,21.333,4.629,1.934,0.476,0.853,24.518,0,2.454,6.588,2.205,7.441,0.11,2.059,47.892,13985.093,262.269
2023-01-02T06:00:00,23.954,4.707,1.847,0.481,1.167,26.302,0,2.454,8.376,2.45,7.623,0.469,2.101,51.816,16192.398,279.079
2023-01-02T07:00:00,26.368,4.832,1.869,0.484,1.291,27.716,0,2.457,10.544,2.766,7.738,0.267,2.112,55.049,18785.308,302.448
2023-01-02T08:00:00,27.367,4.918,1.838,0.484,1.736,28.95,0.512,2.457,11.252,3.001,7.735,0.314,2.125,58.325,19741.364,302.147
2023-01-02T09:00:00,29.007,4.945,1.867,0.484,1.966,28.78,3.236,2.458,12.289,3.301,7.85,0.495,2.131,60.1,21129.533,302.977
2023-01-02T10:00:00,30.756,4.948,1.997,0.508,2.275,27.033,6.211,2.458,13.004,3.554,8.016,1.027,2.19,61.164,22225.685,304.141
2023-01-02T11:00:00,31.116,4.923,1.98,0.518,3.012,25.885,8.274,2.46,13.097,3.801,8.132,0.895,2.213,62.543,22597.555,301.322
2023-01-02T12:00:00,30.268,4.881,1.992,0.494,3.295,25.403,8.544,2.458,13.209,3.493,7.899,0.554,2.16,64.182,22309.064,300.797
2023-01-02T13:00:00,30.636,4.87,2.003,0.487,4.439,24.415,6.644,2.454,13.673,3.604,7.819,0.244,2.356,63.336,23120.634,317.414
2023-01-02T14:00:00,31.437,4.879,1.85,0.503,5.695,23.534,3.802,2.453,13.794,3.866,8.114,0.325,2.382,61.977,23601.088,331.857
2023-01-02T15:00:00,31.968,4.934,1.836,0.518,5.894,22.239,1.186,2.454,13.952,3.957,8.181,0.487,2.42,60.955,23916.272,351.41
2023-01-02T16:00:00,32.796,5.054,1.867,0.518,6.172,21.457,0.051,2.453,13.962,4.082,8.251,1.101,2.43,60.581,24071.747,356.946
2023-01-02T17:00:00,34.913,5.128,1.876,0.519,6.336,21.434,0,2.451,13.965,4.28,8.445,2.823,2.43,61.986,24308.677,348.582
2023-01-02T18:00:00,35.076,5.143,1.896,0.519,6.094,21.95,0,2.45,13.961,4.392,8.435,2.891,2.429,61.943,24390.686,347.388
2023-01-02T19:00:00,34.488,5.109,1.956,0.519,6.019,21.62,0,2.452,13.992,4.487,8.512,2.092,2.435,60.752,24537.774,354.345
2023-01-02T20:00:00,32.663,4.999,1.901,0.519,5.81,21.004,0,2.452,13.987,4.354,8.425,0.494,2.433,58.63,24388.522,367.121
2023-01-02T21:00:00,31.809,4.891,1.927,0.519,5.511,20.208,0,2.452,13.987,3.945,8.309,0.169,2.43,56.248,24003.874,372.799
2023-01-02T22:00:00,31.612,4.795,1.949,0.519,5.204,19.284,0,2.453,14.072,3.74,8.28,0.113,2.433,53.973,23919.869,380.403
2023-01-02T23:00:00,30.985,4.78,1.969,0.519,4.857,18.707,0,2.454,13.966,3.379,8.188,0.049,2.429,51.867,23470.859,382.723
2023-01-03T00:00:00,30.322,4.704,1.951,0.498,4.378,18.033,0,2.453,13.434,3.521,7.968,0.033,2.417,51.05,22938.719,385.979
2023-01-03T01:00:00,30.353,4.689,1.959,0.523,4.201,17.088,0,2.453,13.356,3.541,7.936,0.073,2.472,49.223,22933.133,393.134
2023-01-03T02:00:00,29.789,4.675,2.053,0.497,4.087,15.786,0,2.456,13.107,3.459,7.75,0.117,2.404,49.986,22445.775,397.697
2023-01-03T03:00:00,29.901,4.666,1.99,0.484,3.927,14.529,0,2.456,13.234,3.482,7.776,0.099,2.368,49.699,22560.105,409.688
2023-01-03T04:00:00,30.497,4.691,1.96,0.504,3.818,13.35,0,2.459,13.355,3.811,7.873,0.09,2.406,51.177,23039.354,423.649
2023-01-03T05:00:00,31.671,4.72,2.003,0.519,3.419,12.388,0,2.459,13.372,4.739,8.051,0.088,2.443,52.044,23936.623,440.783
2023-01-03T06:00:00,34.952,4.807,1.984,0.554,3.064,11.809,0,2.459,13.47,6.682,8.867,0.393,2.528,55.032,26046.158,458.627
2023-01-03T07:00:00,38.207,4.984,1.976,0.593,2.625,11.463,0,2.458,13.691,7.939,9.307,1.591,2.627,58.517,27607.14,464.172
2023-01-03T08:00:00,39.918,5.055,1.948,0.603,2.487,10.983,0.266,2.458,14.096,8.678,9.399,2.024,2.661,60.777,28722.306,471.664
2023-01-03T09:00:00,40.63,5.022,1.951,0.603,2.937,10.047,2.851,2.461,14.094,9.114,9.399,2.293,2.666,61.929,29094.009,457.334
2023-01-03T10:00:00,39.864,4.996,1.949,0.603,3.592,8.681,6.825,2.459,14.123,9.231,9.398,1.399,2.651,63.7,29196.025,442.53
2023-01-03T11:00:00,40.108,4.945,1.953,0.603,4.029,7.115,10.6,2.459,14.03,9.284,9.372,1.709,2.652,65.191,29135.443,424.012
2023-01-03T12:00:00,39.09,4.889,1.95,0.603,3.603,6.836,11.595,2.457,14.041,9.155,9.325,0.859,2.649,65.711,29020.756,427.437
2023-01-03T13:00:00,39.129,4.912,1.959,0.603,3.733,6.978,9.566,2.453,14.074,8.982,9.381,0.987,2.649,64.042,28936.725,436.708
2023-01-03T14:00:00,39.399,4.979,2.067,0.603,4.292,6.668,6.261,2.453,14.218,8.886,9.408,1.179,2.651,62.546,29024.525,455.372
2023-01-03T15:00:00,39.933,5.067,2.119,0.603,4.727,6.695,2.34,2.452,14.297,8.699,9.472,1.755,2.655,61.405,28984.186,474.701
2023-01-03T16:00:00,40.582,5.161,2.154,0.603,4.717,7.872,0.134,2.452,14.331,8.543,9.567,2.426,2.661,61.883,28934.675,475.497
2023-01-03T17:00:00,42.349,5.202,2.207,0.603,5.245,10.187,0,2.453,14.423,8.408,9.871,3.927,2.664,63.627,29036.097,443.894
2023-01-03T18:00:00,40.605,5.19,2.078,0.603,5.81,12.413,0,2.453,14.288,8.369,9.794,2.475,2.622,64.392,28767.042,433.836
2023-01-03T19:00:00,38.174,5.117,2.015,0.603,5.803,15.283,0,2.454,14.329,8.215,9.479,0.614,2.479,63.684,28333.676,425.492
2023-01-03T20:00:00,36.867,5.016,2.073,0.603,5.603,18.539,0,2.454,14.258,7.543,9.214,0.542,2.253,60.95,27304.951,399.955
2023-01-03T21:00:00,33.817,4.916,2.006,0.603,5.217,21.039,0,2.455,14.059,5.46,8.868,0.114,2.257,59.223,25260.082,376.523
2023-01-03T22:00:00,31.42,4.81,2.049,0.563,5.089,22.34,0,2.456,13.7,3.993,8.331,0.215,2.161,56.573,23354.912,355.217
2023-01-03T23:00:00,27.921,4.751,2.092,0.504,4.845,24.423,0,2.453,10.384,4.177,8.033,0.357,2.014,53.689,19725.566,307.701
2023-01-04T00:00:00,23.532,4.688,2.031,0.472,5.037,26.226,0,2.45,6.537,4.165,7.914,0.043,1.952,53.778,15554.989,252.451
2023-01-04T01:00:00,22.472,4.674,2.018,0.472,5.188,28.075,0,2.45,5.687,4.055,7.761,0.1,1.948,53.442,14511.865,232.091
2023-01-04T02:00:00,22.519,4.648,2.003,0.472,5.361,28.478,0,2.449,5.472,4.278,7.8,0.106,1.944,53.845,14477.695,229.38
2023-01-04T03:00:00,22.293,4.636,1.989,0.472,5.405,27.341,0,2.452,5.193,4.407,7.712,0.108,1.95,53.994,14269.676,230.971
2023-01-04T04:00:00,22.154,4.653,1.983,0.472,5.604,27.912,0,2.451,5.143,4.329,7.712,0.11,1.936,55.176,14130.452,226.387
2023-01-04T05:00:00,22.502,4.672,1.965,0.471,5.754,31.886,0,2.449,5.174,4.61,7.738,0.125,1.935,57.751,14397.737,215.241
2023-01-04T06:00:00,23.07,4.748,2.072,0.471,5.5,38.137,0,2.444,5.196,5.043,7.815,0.164,1.938,61.211,14809.749,201.118
2023-01-04T07:00:00,23.832,4.895,2.06,0.471,5.546,39.995,0,2.441,5.326,5.465,7.888,0.307,1.934,63.449,15313.513,200.311
2023-01-04T08:00:00,25.592,5.039,2.059,0.471,5.258,40.62,0.325,2.439,5.391,6.067,7.94,1.342,1.942,64.821,15909.936,201.325
2023-01-04T09:00:00,25.972,5.027,2.084,0.47,4.982,41.158,1.651,2.434,5.481,6.274,7.916,1.455,1.941,66.832,16165.71,199.641
2023-01-04T10:00:00,24.906,5,2.065,0.47,4.884,41.441,2.753,2.431,5.321,6.203,7.941,0.596,1.943,68.244,15951.249,196.648
2023-01-04T11:00:00,25.332,4.977,2.16,0.47,4.732,41.662,2.951,2.43,5.315,5.96,7.94,1.27,1.947,68.621,15749.81,192.385
2023-01-04T12:00:00,24.883,4.929,1.991,0.47,5.124,41.941,2.754,2.423,5.313,5.603,7.893,1.236,1.945,68.663,15433.257,188.983
2023-01-04T13:00:00,23.601,4.98,1.954,0.47,5.288,42.159,2.413,2.419,5.291,5.219,7.902,0.361,1.94,68.531,15088.891,187.595
2023-01-04T14:00:00,23.246,4.978,2.039,0.47,5.283,41.997,1.743,2.42,5.296,4.939,7.913,0.27,1.939,67.594,14865.24,187.373
2023-01-04T15:00:00,23.393,4.983,2.019,0.47,5.29,42.147,0.698,2.42,5.42,4.751,7.914,0.477,1.942,66.602,14846.304,188.883
2023-01-04T16:00:00,24.562,5.081,2.019,0.47,5.143,41.925,0.037,2.418,5.205,5.246,7.982,1.297,1.944,66.656,15056.962,190.889
2023-01-04T17:00:00,26.696,5.158,1.965,0.47,4.942,42.609,0,2.413,5.13,6.092,8.051,2.594,1.947,67.687,15704.99,192.67
2023-01-04T18:00:00,25.315,5.153,1.95,0.469,4.998,42.416,0,2.413,5.137,6.145,8.116,1.089,1.946,67.875,15779.156,197.296
2023-01-04T19:00:00,25.007,5.127,1.967,0.469,5.083,42.255,0,2.413,5.127,6.138,8.103,0.819,1.937,66.649,15743.15,197.819
2023-01-04T20:00:00,24.323,4.981,1.894,0.469,4.72,42.37,0,2.414,4.983,5.984,8.116,0.424,1.933,64.872,15462.854,197.158
2023-01-04T21:00:00,23.953,4.91,1.861,0.469,4.876,42.165,0,2.411,4.983,6.147,7.852,0.148,1.943,63.829,15518.588,199.182
2023-01-04T22:00:00,23.723,4.833,1.901,0.467,4.991,40.877,0,2.412,4.976,5.999,7.864,0.06,1.946,61.764,15398.161,201.363
2023-01-04T23:00:00,23.512,4.78,1.929,0.47,4.875,39.989,0,2.411,5.012,5.72,7.839,0.111,1.951,59.425,15203.447,202.118
2023-01-05T00:00:00,23.894,4.723,1.97,0.47,4.171,35.677,0,2.411,5.449,5.711,7.918,0.03,1.905,56.296,15622.337,221.333
2023-01-05T01:00:00,24.075,4.716,1.947,0.467,3.598,34.695,0,2.414,5.632,5.663,7.943,0.054,1.902,53.525,15778.181,228.074
2023-01-05T02:00:00,23.924,4.704,2.004,0.47,3.557,34.183,0,2.413,5.588,5.512,7.941,0.099,1.902,52.918,15607.19,227.784
2023-01-05T03:00:00,24.018,4.692,2.013,0.47,3.533,34.015,0,2.413,5.621,5.59,7.919,0.107,1.899,53.5,15693.236,229.369
2023-01-05T04:00:00,24.444,4.714,2.024,0.469,3.255,35.675,0,2.412,5.793,5.854,7.929,0.103,1.883,54.911,16068.796,228.69
