"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2022 00:00:00 - 01/01/2022 01:00:00","BZN|PT","Without Sequence","145.86","",""
"01/01/2022 01:00:00 - 01/01/2022 02:00:00","BZN|PT","Without Sequence","114.90","",""
"01/01/2022 02:00:00 - 01/01/2022 03:00:00","BZN|PT","Without Sequence","113.87","",""
"01/01/2022 03:00:00 - 01/01/2022 04:00:00","BZN|PT","Without Sequence","97.80","",""
"01/01/2022 04:00:00 - 01/01/2022 05:00:00","BZN|PT","Without Sequence","97.80","",""
"01/01/2022 05:00:00 - 01/01/2022 06:00:00","BZN|PT","Without Sequence","95.74","",""
"01/01/2022 06:00:00 - 01/01/2022 07:00:00","BZN|PT","Without Sequence","97.80","",""
"01/01/2022 07:00:00 - 01/01/2022 08:00:00","BZN|PT","Without Sequence","97.80","",""
"01/01/2022 08:00:00 - 01/01/2022 09:00:00","BZN|PT","Without Sequence","97.80","",""
"01/01/2022 09:00:00 - 01/01/2022 10:00:00","BZN|PT","Without Sequence","70.05","",""
"01/01/2022 10:00:00 - 01/01/2022 11:00:00","BZN|PT","Without Sequence","76.79","",""
"01/01/2022 11:00:00 - 01/01/2022 12:00:00","BZN|PT","Without Sequence","84.10","",""
"01/01/2022 12:00:00 - 01/01/2022 13:00:00","BZN|PT","Without Sequence","94.74","",""
"01/01/2022 13:00:00 - 01/01/2022 14:00:00","BZN|PT","Without Sequence","96.80","",""
"01/01/2022 14:00:00 - 01/01/2022 15:00:00","BZN|PT","Without Sequence","97.80","",""
"01/01/2022 15:00:00 - 01/01/2022 16:00:00","BZN|PT","Without Sequence","98.52","",""
"01/01/2022 16:00:00 - 01/01/2022 17:00:00","BZN|PT","Without Sequence","114.50","",""
"01/01/2022 17:00:00 - 01/01/2022 18:00:00","BZN|PT","Without Sequence","149.97","",""
"01/01/2022 18:00:00 - 01/01/2022 19:00:00","BZN|PT","Without Sequence","177.22","",""
"01/01/2022 19:00:00 - 01/01/2022 20:00:00","BZN|PT","Without Sequence","187.52","",""
"01/01/2022 20:00:00 - 01/01/2022 21:00:00","BZN|PT","Without Sequence","189.26","",""
"01/01/2022 21:00:00 - 01/01/2022 22:00:00","BZN|PT","Without Sequence","190.81","",""
