"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2022 00:00 - 01/01/2022 01:00","Portugal (PT)","4801.90","5102.00"
"01/01/2022 01:00 - 01/01/2022 02:00","Portugal (PT)","4555.50","4746.00"
"01/01/2022 02:00 - 01/01/2022 03:00","Portugal (PT)","4381.90","4462.00"
"01/01/2022 03:00 - 01/01/2022 04:00","Portugal (PT)","4087.20","4122.00"
"01/01/2022 04:00 - 01/01/2022 05:00","Portugal (PT)","3851.10","3868.00"
"01/01/2022 05:00 - 01/01/2022 06:00","Portugal (PT)","3713.00","3744.00"
"01/01/2022 06:00 - 01/01/2022 07:00","Portugal (PT)","3653.80","3710.00"
"01/01/2022 07:00 - 01/01/2022 08:00","Portugal (PT)","3662.40","3719.00"
"01/01/2022 08:00 - 01/01/2022 09:00","Portugal (PT)","3617.10","3698.00"
"01/01/2022 09:00 - 01/01/2022 10:00","Portugal (PT)","3605.00","3877.00"
"01/01/2022 10:00 - 01/01/2022 11:00","Portugal (PT)","3904.10","4352.00"
"01/01/2022 11:00 - 01/01/2022 12:00","Portugal (PT)","4276.00","4724.00"
"01/01/2022 12:00 - 01/01/2022 13:00","Portugal (PT)","4642.70","5174.00"
"01/01/2022 13:00 - 01/01/2022 14:00","Portugal (PT)","4871.40","5484.00"
"01/01/2022 14:00 - 01/01/2022 15:00","Portugal (PT)","4644.70","5217.00"
"01/01/2022 15:00 - 01/01/2022 16:00","Portugal (PT)","4409.10","4710.00"
"01/01/2022 16:00 - 01/01/2022 17:00","Portugal (PT)","4319.20","4619.00"
"01/01/2022 17:00 - 01/01/2022 18:00","Portugal (PT)","4381.20","4760.00"
"01/01/2022 18:00 - 01/01/2022 19:00","Portugal (PT)","4856.80","5309.00"
"01/01/2022 19:00 - 01/01/2022 20:00","Portugal (PT)","5316.10","5738.00"
"01/01/2022 20:00 - 01/01/2022 21:00","Portugal (PT)","5471.50","5864.00"
"01/01/2022 21:00 - 01/01/2022 22:00","Portugal (PT)","5495.10","5852.00"
"01/01/2022 22:00 - 01/01/2022 23:00","Portugal (PT)","5275.20","5705.00"
"01/01/2022 23:00 - 02/01/2022 00:00","Portugal (PT)","4998.00","5524.00"
"02/01/2022 00:00 - 02/01/2022 01:00","Portugal (PT)","4642.90","5537.00"
"02/01/2022 01:00 - 02/01/2022 02:00","Portugal (PT)","4272.30","4420.00"
"02/01/2022 02:00 - 02/01/2022 03:00","Portugal (PT)","3972.60","4168.00"
"02/01/2022 03:00 - 02/01/2022 04:00","Portugal (PT)","3753.20","3901.00"
"02/01/2022 04:00 - 02/01/2022 05:00","Portugal (PT)","3644.40","3844.00"
"02/01/2022 05:00 - 02/01/2022 06:00","Portugal (PT)","3596.90","3825.00"
"02/01/2022 06:00 - 02/01/2022 07:00","Portugal (PT)","3620.20","3830.00"
"02/01/2022 07:00 - 02/01/2022 08:00","Portugal (PT)","3731.50","3875.00"
